,Experience Level,Country or Area,Education level,Qualification level,Statutory salary,Measure,Unit of measure,Statutory time,Actual Salary per Hour
201,15 years of Experience,Colombia,Primary education,Minimum qualification at this stage of career,37875.47,Statutory teaching time,Hours per year,950.0,39.86891578947368
202,15 years of Experience,Colombia,Primary education,Minimum qualification at this stage of career,37875.47,Total statutory working time,Hours per year,1720.0,22.020622093023256
203,15 years of Experience,Colombia,Primary education,Minimum qualification at this stage of career,37875.47,Statutory working time required at school,Hours per year,1152.0,32.87801215277778
204,15 years of Experience,Colombia,Primary education,Most prevalent qualification at this stage of career,42676.731,Statutory teaching time,Hours per year,950.0,44.922874736842104
205,15 years of Experience,Colombia,Primary education,Most prevalent qualification at this stage of career,42676.731,Total statutory working time,Hours per year,1720.0,24.812052906976746
206,15 years of Experience,Colombia,Primary education,Most prevalent qualification at this stage of career,42676.731,Statutory working time required at school,Hours per year,1152.0,37.0457734375
207,Maximum Experience,Colombia,Primary education,Maximum qualification at this stage of career,88410.558,Statutory teaching time,Hours per year,950.0,93.0637452631579
208,Maximum Experience,Colombia,Primary education,Maximum qualification at this stage of career,88410.558,Total statutory working time,Hours per year,1720.0,51.40148720930233
209,Maximum Experience,Colombia,Primary education,Maximum qualification at this stage of career,88410.558,Statutory working time required at school,Hours per year,1152.0,76.74527604166667
210,Maximum Experience,Colombia,Primary education,Minimum qualification at this stage of career,37875.47,Statutory teaching time,Hours per year,950.0,39.86891578947368
211,Maximum Experience,Colombia,Primary education,Minimum qualification at this stage of career,37875.47,Total statutory working time,Hours per year,1720.0,22.020622093023256
212,Maximum Experience,Colombia,Primary education,Minimum qualification at this stage of career,37875.47,Statutory working time required at school,Hours per year,1152.0,32.87801215277778
213,Maximum Experience,Colombia,Primary education,Most prevalent qualification at this stage of career,49078.186,Statutory teaching time,Hours per year,950.0,51.66124842105263
214,Maximum Experience,Colombia,Primary education,Most prevalent qualification at this stage of career,49078.186,Total statutory working time,Hours per year,1720.0,28.533829069767442
215,Maximum Experience,Colombia,Primary education,Most prevalent qualification at this stage of career,49078.186,Statutory working time required at school,Hours per year,1152.0,42.60259201388889
216,No Experience,Colombia,Upper secondary general education,Maximum qualification at this stage of career,39165.592,Statutory teaching time,Hours per year,836.0,46.8487942583732
217,No Experience,Colombia,Upper secondary general education,Maximum qualification at this stage of career,39165.592,Total statutory working time,Hours per year,1720.0,22.770693023255813
218,No Experience,Colombia,Upper secondary general education,Maximum qualification at this stage of career,39165.592,Statutory working time required at school,Hours per year,1152.0,33.99790972222222
219,No Experience,Colombia,Upper secondary general education,Minimum qualification at this stage of career,23401.034,Statutory teaching time,Hours per year,836.0,27.991667464114833
220,No Experience,Colombia,Upper secondary general education,Minimum qualification at this stage of career,23401.034,Total statutory working time,Hours per year,1720.0,13.605252325581395
221,No Experience,Colombia,Upper secondary general education,Minimum qualification at this stage of career,23401.034,Statutory working time required at school,Hours per year,1152.0,20.313397569444444
222,No Experience,Colombia,Upper secondary general education,Most prevalent qualification at this stage of career,23401.034,Statutory teaching time,Hours per year,836.0,27.991667464114833
223,No Experience,Colombia,Upper secondary general education,Most prevalent qualification at this stage of career,23401.034,Total statutory working time,Hours per year,1720.0,13.605252325581395
224,No Experience,Colombia,Upper secondary general education,Most prevalent qualification at this stage of career,23401.034,Statutory working time required at school,Hours per year,1152.0,20.313397569444444
225,10 years of Experience,Colombia,Upper secondary general education,Maximum qualification at this stage of career,66454.819,Statutory teaching time,Hours per year,836.0,79.49141028708134
226,10 years of Experience,Colombia,Upper secondary general education,Maximum qualification at this stage of career,66454.819,Total statutory working time,Hours per year,1720.0,38.63652267441861
227,10 years of Experience,Colombia,Upper secondary general education,Maximum qualification at this stage of career,66454.819,Statutory working time required at school,Hours per year,1152.0,57.68647482638889
228,10 years of Experience,Colombia,Upper secondary general education,Minimum qualification at this stage of career,42676.731,Statutory teaching time,Hours per year,836.0,51.04872129186603
229,10 years of Experience,Colombia,Upper secondary general education,Minimum qualification at this stage of career,42676.731,Total statutory working time,Hours per year,1720.0,24.812052906976746
230,10 years of Experience,Colombia,Upper secondary general education,Minimum qualification at this stage of career,42676.731,Statutory working time required at school,Hours per year,1152.0,37.0457734375
231,10 years of Experience,Colombia,Upper secondary general education,Most prevalent qualification at this stage of career,42676.731,Statutory teaching time,Hours per year,836.0,51.04872129186603
232,10 years of Experience,Colombia,Upper secondary general education,Most prevalent qualification at this stage of career,42676.731,Total statutory working time,Hours per year,1720.0,24.812052906976746
233,10 years of Experience,Colombia,Upper secondary general education,Most prevalent qualification at this stage of career,42676.731,Statutory working time required at school,Hours per year,1152.0,37.0457734375
234,15 years of Experience,Colombia,Upper secondary general education,Maximum qualification at this stage of career,66454.819,Statutory teaching time,Hours per year,836.0,79.49141028708134
235,15 years of Experience,Colombia,Upper secondary general education,Maximum qualification at this stage of career,66454.819,Total statutory working time,Hours per year,1720.0,38.63652267441861
236,15 years of Experience,Colombia,Upper secondary general education,Maximum qualification at this stage of career,66454.819,Statutory working time required at school,Hours per year,1152.0,57.68647482638889
237,15 years of Experience,Colombia,Upper secondary general education,Minimum qualification at this stage of career,42676.731,Statutory teaching time,Hours per year,836.0,51.04872129186603
